Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_089.jpg,0,0,0,0,99.66999,85.589,0.0002386785,73.77009,-3.697857E-06
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_135.jpg,0,0,0,0,99.66999,85.589,0.0002388985,73.77009,8.072685E-07
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_181.jpg,0,0,0,0,99.66999,85.589,0.0002391223,73.77009,5.285974E-06
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_227.jpg,0,0,0,0,99.66999,85.589,0.0002390672,73.77009,1.096463E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_274.jpg,0,0,0,0,99.66999,85.589,0.0002392529,73.77009,1.419819E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_320.jpg,0,0,0,0,99.66999,85.589,0.0002397102,73.77009,1.703928E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_367.jpg,0,0,0,0,99.66999,85.589,0.0002405035,73.77009,2.054813E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_413.jpg,0,0,0,0,99.66999,85.589,0.0002406927,73.77009,2.224601E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_459.jpg,0,0,0,0,99.66999,85.589,0.0002407157,73.77009,2.35968E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_507.jpg,0,0,0,0,99.66999,85.589,0.0002407085,73.77009,2.51589E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_553.jpg,0,0,0,0,99.66999,85.589,0.0002406068,73.77009,2.587206E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_599.jpg,0,0,0,0,99.66999,85.589,0.0002405391,73.77009,2.63475E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_645.jpg,0,0,0,0,99.66999,85.589,0.0002402939,73.77009,2.655509E-05
/home/steele/apps/robo-assign/RoboND-Rover-Project/output1/IMG/robocam_2017_05_31_21_40_00_692.jpg,0,0,0,0,99.66999,85.589,0.0002401051,73.77009,2.636648E-05
